SITES,DURATION_DAYS
51,284
40,165
32,229
26,221
62,219
19,337
33,334
93,337
16,307
17,302
20,300
11,299
64,334
14,274
53,407
28,132
10,266
19,264
32,250
10,256
15,256
34,165
68,454
16,250
14,249
16,248
17,243
100,447
66,411
52,453
17,233
12,216
28,152
40,391
13,212
15,211
16,204
27,150
46,247
38,314
19,201
21,113
53,448
19,200
25,322
11,200
15,198
17,197
25,149
13,195
10,188
58,246
11,184
23,128
12,179
14,170
40,263
21,270
12,169
12,167
17,165
10,164
11,161
12,160
45,459
9,157
50,353
9,156
41,221
16,155
92,223
73,642
9,145
10,143
22,290
9,141
18,141
11,138
11,138
10,137
11,136
12,135
87,714
9,135
103,576
10,130
19,129
147,795
9,126
11,120
9,118
15,118
19,117
46,201
12,115
75,204
15,113
10,113
39,338
18,108
9,108
74,424
25,340
20,104
53,506
32,205
9,102
10,101
9,100
25,128
31,296
8,96
7,96
7,94
7,93
77,369
16,89
19,88
8,88
16,88
7,86
106,626
8,84
8,83
10,83
16,82
7,81
15,80
8,78
10,77
47,418
10,77
9,75
8,73
59,503
48,220
10,70
6,69
8,68
6,68
91,352
54,344
7,67
8,61
7,60
7,60
16,59
15,57
94,502
6,57
15,49
8,49
13,48
12,46
8,42
9,35
67,273
5,34
5,33
5,33
28,108
5,32
5,31
11,28
7,22
8,22
5,20
10,18
6,17
8,17
5,7
5,6
